cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","von willebrand factor","phv00117560","phs000285","pht001739","von willebrand activity (%)","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00117555","CARDIA YEAR 7","","","","",1,1,1,1,0,0,1
"cardia","factor vii","phv00115090","phs000285","pht001642","factor vii (%)","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00115089","CARDIA YEAR 2","","","","",1,1,1,1,0,0,1
"whi","factor vii","phv00077381","phs000200","pht000987","core factor vii antigen, activity (%)","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00077369","WHI CORE","","","","",1,1,1,1,0,0,1
"cardia","factor vii","phv00117556","phs000285","pht001739","factor vii (%)","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00117555","CARDIA YEAR 7","","","","",1,1,1,1,0,0,1
"cardia","von willebrand factor","phv00115092","phs000285","pht001642","von willebrand antigen (%)","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00115089","CARDIA YEAR 2","","","","",1,1,1,1,0,0,1
"cardia","factor vii","phv00117563","phs000285","pht001739","factor vii antigen (%)","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00117555","CARDIA YEAR 7","","","","",1,1,1,1,0,0,1
"fhs","monocytes count","phv00227037","phs000007","pht004802","monocyte percent (sample type: whole blood)","%","MeasurementObservation","monocyte_ncnc_bld","10*3/uL","OBA:VT0000223","phv00227023","FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4","","","","",,1,1,,0,0,0
"fhs","monocytes count","phv00172190","phs000007","pht002889","monocyte percent (sample type: whole blood)","%","MeasurementObservation","monocyte_ncnc_bld","10*3/uL","OBA:VT0000223","phv00172159","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","","","",,1,1,,0,0,0
"hchs_sol","monocytes count","phv00226286","phs000810","pht004715","% monocytes (laba12)","%","MeasurementObservation","monocyte_ncnc_bld","10*3/uL","OBA:VT0000223","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,,0,0,0
"hchs_sol","basophils count","phv00226288","phs000810","pht004715","% basophils (laba14)","%","MeasurementObservation","basophil_ncnc_bld","10*3/uL","OBA:VT0002607","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,,0,0,0
"aric","factor viii","phv00206649","phs000280","pht004098","factor viii c value [hemostasis lab. hema. visit 1]","%","MeasurementObservation","factor_8","[IU]/mL","OBA:2041536","phv00206655","ARIC EXAM 1","","","","* 0.01",,1,1,,0,1,1
"mesa","factor viii","phv00084463","phs000209","pht001116","calibrated factor viii (%)","%","MeasurementObservation","factor_8","[IU]/mL","OBA:2041536","phv00084441","MESA CLASSIC EXAM 1","phv00084442","","","* 0.01",,1,1,,0,1,1
"cardia","factor viii","phv00116362","phs000285","pht001694","factor viii (%)","%","MeasurementObservation","factor_8","[IU]/mL","OBA:2041536","phv00116360","CARDIA YEAR 5","","","","* 0.01",,1,1,,0,1,1
"mesa","factor viii","phv00160522","phs000209","pht002105","factor viii %","%","MeasurementObservation","factor_8","[IU]/mL","OBA:2041536","phv00150369","MESA STRESS","","","","* 0.01",,1,1,,0,1,1
"mesa","factor viii","phv00085019","phs000209","pht001116","factor viii (%)","%","MeasurementObservation","factor_8","[IU]/mL","OBA:2041536","phv00084441","MESA CLASSIC EXAM 1","phv00084442","","","* 0.01",,1,1,,0,1,1
"cardia","factor viii","phv00117557","phs000285","pht001739","factor viii (%)","%","MeasurementObservation","factor_8","[IU]/mL","OBA:2041536","phv00117555","CARDIA YEAR 7","","","","* 0.01",,1,1,,0,1,1
"fhs","mean corpuscular hemoglobin concentration","phv00081036","phs000007","pht001045","mean corpuscular hemoglobin concentration","%","MeasurementObservation","mchc","g/dL","OMOP:37393850","phv00081012","FHS ORIGINAL EXAM 20 AND EXAM 21","","","","",1,1,1,1,0,0,1
"jhs","mean corpuscular hemoglobin concentration","phv00127624","phs000286","pht001959","mchc % [visit 1]","%","MeasurementObservation","mchc","g/dL","OMOP:37393850","phv00127609","JHS EXAM 1","","","","",1,1,1,1,0,0,1
"aric","lymphocytes percent","phv00207261","phs000280","pht004107","lymphocytes % q7 [hematology form. hmta. visit 1]","%{WBCs}","MeasurementObservation","lympho_pct","%","OMOP:37208690","phv00207267","ARIC EXAM 1","","","","",1,1,1,1,0,0,1
"hchs_sol","lymphocytes percent","phv00226285","phs000810","pht004715","% lymphocytes (laba11)","%{WBCs}","MeasurementObservation","lympho_pct","%","OMOP:37208690","phv00226250","HCHS EXAM","phv00226251","","","",1,1,1,1,0,0,1
"aric","lymphocytes percent","phv00207276","phs000280","pht004108","lymphocytes %. q7 [hematology form. hmtb. visit 2]","%{WBCs}","MeasurementObservation","lympho_pct","%","OMOP:37208690","phv00207283","ARIC EXAM 2","","","","",1,1,1,1,0,0,1
"hchs_sol","neutrophils percent","phv00226284","phs000810","pht004715","% neutrophils (laba10)","%{WBCs}","MeasurementObservation","neutro_pct","%{WBCs}","OMOP:37208698","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,1,0,0,1
"aric","neutrophils percent","phv00207274","phs000280","pht004108","neutrophils % q5. q5 [hematology form. hmtb. visit 2]","%{WBCs}","MeasurementObservation","neutro_pct","%{WBCs}","OMOP:37208698","phv00207283","ARIC EXAM 2","","","","",,1,1,1,0,0,1
"cardia","neutrophils percent","phv00112694","phs000285","pht001563","neutrophils (%)","%{WBCs}","MeasurementObservation","neutro_pct","%{WBCs}","OMOP:37208698","phv00112654","CARDIA YEAR 0","","","","",,1,1,1,0,0,1
"aric","neutrophils percent","phv00207259","phs000280","pht004107","neutrophils % q5 [hematology form. hmta. visit 1]","%{WBCs}","MeasurementObservation","neutro_pct","%{WBCs}","OMOP:37208698","phv00207267","ARIC EXAM 1","","","","",,1,1,1,0,0,1
"hchs_sol","lymphocytes count","phv00226285","phs000810","pht004715","% lymphocytes (laba11)","%{WBCs}","MeasurementObservation","lympho_ct","10*3/uL","OBA:VT0000217","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,,0,0,0
"aric","von willebrand factor","phv00206654","phs000280","pht004098","von willebrand factor - antigen value [hemostasis lab. hema. visit 1]","%{normal}","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00206655","ARIC EXAM 1","","","","",,1,1,1,0,0,1
"aric","factor vii","phv00206651","phs000280","pht004098","factor vii value [hemostasis lab. hema. visit 1]","%{normal}","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00206655","ARIC EXAM 1","","","","",,1,1,1,0,0,1
"aric","factor vii","phv00206657","phs000280","pht004099","factor vii value [hemostasis lab. hemc31. visit 3]","%{normal}","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00206665","ARIC EXAM 3","","","","",,1,1,1,0,0,1
"fhs","fruits","phv00162176","phs000007","pht002350","ffq: grapefruit","1/2agrapefruit","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00162112","FHS OFFSPRING EXAM 8","","","","",,1,1,,0,0,0
"fhs","fruits","phv00156816","phs000007","pht002150","ffq: grapefruit","1/2agrapefruit","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00157296","FHS GENERATION 3 EXAM 1","","","","",,1,1,,0,0,0
"fhs","vegetables","phv00172523","phs000007","pht002900","ffq: carrots, raw","1/2carrotor2-4sticks","MeasurementObservation","vege_serving","{servings}/wk","OMOP:4042886","phv00172393","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","","","",,1,1,,0,0,0
"fhs","fruits","phv00162181","phs000007","pht002350","ffq: peaches, apricots or plums","1/2cup","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00162112","FHS OFFSPRING EXAM 8","","","","",,1,1,,0,0,0
"fhs","fruits","phv00162180","phs000007","pht002350","ffq: blueberries","1/2cup","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00162112","FHS OFFSPRING EXAM 8","","","","",,1,1,,0,0,0
"fhs","fruits","phv00156821","phs000007","pht002150","ffq: peaches, apricots or plums","1/2cup","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00157296","FHS GENERATION 3 EXAM 1","","","","",,1,1,,0,0,0
"fhs","fruits","phv00172498","phs000007","pht002900","ffq: avocado","1/2cup","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00172393","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","","","",,1,1,,0,0,0
"fhs","fruits","phv00156819","phs000007","pht002150","ffq: strawberries","1/2cup","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00157296","FHS GENERATION 3 EXAM 1","","","","",,1,1,,0,0,0
"fhs","fruits","phv00162168","phs000007","pht002350","ffq: prunes","1/2cup","MeasurementObservation","fruit_serving","{#}/wk","OMOP:21493059","phv00162112","FHS OFFSPRING EXAM 8","","","","",,1,1,,0,0,0
