cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
cardia,c-reactive protein crp,phv00120759,pht001853,rerun crp (ug/ml - bnii method),ug/mL,MeasurementObservation,crp,mg/L,CARDIA YEAR 15,phv00120757,1,1,,0,0,0,,,,1,
cardia,creatinine in urine,phv00116106,pht001679,urinary creatinine (unadjusted):day 1,mg/dL,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 5,phv00116028,1,1,,0,0,0,1,,,1,CARDIA doc says the unadjusted values should NOT be used
cardia,creatinine in urine,phv00116110,pht001679,urinary creatinine (unadjusted):day 2,mg/d,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 5,phv00116028,1,1,,0,0,0,1,,,,CARDIA doc says the unadjusted values should NOT be used
cardia,creatinine in urine,phv00116114,pht001679,urinary creatinine (unadjusted):day 3,mg/d,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 5,phv00116028,1,1,,0,0,0,1,,,,CARDIA doc says the unadjusted values should NOT be used
cardia,creatinine in urine,phv00116126,pht001679,urinary creatinine (mg/24 hr):day 1,mg/d,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 5,phv00116028,1,1,,0,0,0,1,,,1,
cardia,creatinine in urine,phv00116127,pht001679,urinary creatinine (mg/24 hr):day 2,mg/d,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 5,phv00116028,1,1,,0,0,0,1,,,1,
cardia,creatinine in urine,phv00116128,pht001679,urinary creatinine (mg/24 hr):day 3,mg/d,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 5,phv00116028,1,1,,0,0,0,1,,,1,
cardia,creatinine in urine,phv00118000,pht001752,urinary creatinine (mg),mg,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 10,phv00117996,1,1,,0,0,0,,,,,
cardia,creatinine in urine,phv00120675,pht001849,urinary creatinine,mg/dL,MeasurementObservation,creat_urin,mg/dL,CARDIA YEAR 15,phv00120674,1,1,,0,0,0,,,,1,"inferred from observable range, no unit listed in CARDIA documentation"
cardia,diastolic blood pressure,phv00112481,pht001560,second reading sbp,,MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
cardia,diastolic blood pressure,phv00112482,pht001560,second reading dbp,mm[Hg],MeasurementObservation,bp_diastolic,mm[Hg],CARDIA YEAR 0,phv00112462,1,1,,0,0,0,1,,,1,"CARDIA documentation says to disregard other bp measures due to calculation errors, and only use the vars averaging 2nd and 3rd bp measurements"
