cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","cac score","phv00120885","pht001854","scan 2 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120884","pht001854","scan 1 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120870","pht001854","scan 2 artery 1 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120896","pht001854","average unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120872","pht001854","scan 2 artery 3 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120871","pht001854","scan 2 artery 2 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120842","pht001854","scan 2 artery 1 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120873","pht001854","scan 2 artery 4 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00118019","pht001754","total: agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 10","phv00118009","","","",1,1,,0,0,0
"cardia","cac score","phv00120784","pht001854","scan 1 artery 1 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
